Course System No.,Section,Selected Student No.,The No. of applicants,Limited class size
10.052,A,20200598,396,30
10.052,A,20200665,396,30
10.052,A,20200839,396,30
10.052,A,20210250,396,30
10.052,A,20210355,396,30
10.052,B,20120906,369,30
10.052,B,20150618,369,30
10.052,B,20150672,369,30
10.052,B,20160566,369,30
10.052,B,20170108,369,30
10.052,B,20170521,369,30
10.052,B,20170538,369,30
10.052,B,20170596,369,30
10.052,B,20180043,369,30
10.052,B,20180070,369,30
10.052,B,20180283,369,30
10.052,B,20180474,369,30
10.052,B,20180945,369,30
10.052,B,20190271,369,30
10.052,B,20190310,369,30
10.052,B,20190427,369,30
10.052,B,20190454,369,30
10.052,B,20190543,369,30
10.052,B,20190593,369,30
10.052,B,20200084,369,30
10.052,B,20200126,369,30
10.052,B,20200322,369,30
10.052,B,20200327,369,30
10.052,B,20200496,369,30
10.052,B,20200546,369,30
10.052,B,20200581,369,30
10.052,B,20200653,369,30
10.052,B,20200725,369,30
10.052,B,20210185,369,30
10.052,B,20210481,369,30
10.052,C,20150396,364,30
10.052,C,20160152,364,30
10.052,C,20160757,364,30
10.052,C,20170474,364,30
10.052,C,20170866,364,30
10.052,C,20180368,364,30
10.052,C,20180495,364,30
10.052,C,20180939,364,30
10.052,C,20180942,364,30
10.052,C,20190065,364,30
10.052,C,20190534,364,30
10.052,C,20190756,364,30
10.052,C,20200047,364,30
10.052,C,20200122,364,30
10.052,C,20200243,364,30
10.052,C,20200476,364,30
10.052,C,20200512,364,30
10.052,C,20200530,364,30
10.052,C,20200597,364,30
10.052,C,20200608,364,30
10.052,C,20200610,364,30
10.052,C,20200716,364,30
10.052,C,20200887,364,30
10.052,C,20210083,364,30
10.052,C,20210095,364,30
10.052,C,20210190,364,30
10.052,C,20210254,364,30
10.052,C,20210320,364,30
10.052,C,20210379,364,30
10.052,C,20210468,364,30
10.103,A,20130267,27,20
10.103,A,20140788,27,20
10.103,A,20150561,27,20
10.103,A,20150700,27,20
10.103,A,20160208,27,20
10.103,A,20160334,27,20
10.103,A,20160819,27,20
10.103,A,20170110,27,20
10.103,A,20170156,27,20
10.103,A,20170179,27,20
10.103,A,20170240,27,20
10.103,A,20170271,27,20
10.103,A,20170359,27,20
10.103,A,20170684,27,20
10.103,A,20180495,27,20
10.103,A,20190001,27,20
10.103,A,20190356,27,20
10.103,A,20200088,27,20
10.103,A,20200479,27,20
10.103,A,20200650,27,20
10.103,B,20150672,70,20
10.103,B,20150705,70,20
10.103,B,20160756,70,20
10.103,B,20160832,70,20
10.103,B,20170094,70,20
10.103,B,20170314,70,20
10.103,B,20170550,70,20
10.103,B,20170656,70,20
10.103,B,20180070,70,20
10.103,B,20180133,70,20
10.103,B,20180260,70,20
10.103,B,20180337,70,20
10.103,B,20180502,70,20
10.103,B,20180651,70,20
10.103,B,20190199,70,20
10.103,B,20190279,70,20
10.103,B,20190283,70,20
10.103,B,20190562,70,20
10.103,B,20190735,70,20
10.103,B,20200194,70,20
10.103,D,20140159,23,20
10.103,D,20150735,23,20
10.103,D,20160289,23,20
10.103,D,20160332,23,20
10.103,D,20170001,23,20
10.103,D,20170052,23,20
10.103,D,20170234,23,20
10.103,D,20170461,23,20
10.103,D,20180145,23,20
10.103,D,20180474,23,20
10.103,D,20180566,23,20
10.103,D,20180616,23,20
10.103,D,20180638,23,20
10.103,D,20180670,23,20
10.103,D,20190278,23,20
10.103,D,20190376,23,20
10.103,D,20200080,23,20
10.103,D,20200106,23,20
10.103,D,20200251,23,20
10.103,D,20200434,23,20
10.103,F,20140077,65,20
10.103,F,20150296,65,20
10.103,F,20160222,65,20
10.103,F,20170346,65,20
10.103,F,20170504,65,20
10.103,F,20180058,65,20
10.103,F,20180437,65,20
10.103,F,20180705,65,20
10.103,F,20180709,65,20
10.103,F,20180715,65,20
10.103,F,20190011,65,20
10.103,F,20190226,65,20
10.103,F,20190240,65,20
10.103,F,20190255,65,20
10.103,F,20190494,65,20
10.103,F,20190568,65,20
10.103,F,20190830,65,20
10.103,F,20200073,65,20
10.103,F,20200189,65,20
10.103,F,20200314,65,20
10.103,H,20160080,32,20
10.103,H,20160783,32,20
10.103,H,20170096,32,20
10.103,H,20170170,32,20
10.103,H,20170715,32,20
10.103,H,20180023,32,20
10.103,H,20180059,32,20
10.103,H,20180063,32,20
10.103,H,20180522,32,20
10.103,H,20180525,32,20
10.103,H,20180650,32,20
10.103,H,20180710,32,20
10.103,H,20190351,32,20
10.103,H,20200125,32,20
10.103,H,20200161,32,20
10.103,H,20200243,32,20
10.103,H,20200477,32,20
10.103,H,20200583,32,20
10.103,H,20200668,32,20
10.103,H,20200701,32,20
10.103,I,20160128,51,20
10.103,I,20160477,51,20
10.103,I,20170085,51,20
10.103,I,20170288,51,20
10.103,I,20170296,51,20
10.103,I,20170412,51,20
10.103,I,20170512,51,20
10.103,I,20170681,51,20
10.103,I,20180199,51,20
10.103,I,20180244,51,20
10.103,I,20180350,51,20
10.103,I,20180369,51,20
10.103,I,20180441,51,20
10.103,I,20180582,51,20
10.103,I,20190543,51,20
10.103,I,20190564,51,20
10.103,I,20190805,51,20
10.103,I,20190859,51,20
10.103,I,20200567,51,20
10.103,I,20200665,51,20
10.103,K,20140330,68,20
10.103,K,20150093,68,20
10.103,K,20150328,68,20
10.103,K,20150606,68,20
10.103,K,20160024,68,20
10.103,K,20160437,68,20
10.103,K,20160744,68,20
10.103,K,20170232,68,20
10.103,K,20170336,68,20
10.103,K,20170627,68,20
10.103,K,20170664,68,20
10.103,K,20170687,68,20
10.103,K,20180101,68,20
10.103,K,20180581,68,20
10.103,K,20190479,68,20
10.103,K,20200232,68,20
10.103,K,20200343,68,20
10.103,K,20200494,68,20
10.103,K,20200616,68,20
10.103,K,20200743,68,20
10.103,M,20170394,33,20
10.103,M,20170475,33,20
10.103,M,20170716,33,20
10.103,M,20170792,33,20
10.103,M,20180082,33,20
10.103,M,20180106,33,20
10.103,M,20180107,33,20
10.103,M,20180191,33,20
10.103,M,20180263,33,20
10.103,M,20180397,33,20
10.103,M,20180415,33,20
10.103,M,20180458,33,20
10.103,M,20180585,33,20
10.103,M,20190023,33,20
10.103,M,20190131,33,20
10.103,M,20190218,33,20
10.103,M,20190402,33,20
10.103,M,20190514,33,20
10.103,M,20200593,33,20
10.103,M,20200595,33,20
10.103,N,20160252,65,20
10.103,N,20170035,65,20
10.103,N,20170585,65,20
10.103,N,20170832,65,20
10.103,N,20180120,65,20
10.103,N,20180398,65,20
10.103,N,20180728,65,20
10.103,N,20180796,65,20
10.103,N,20190033,65,20
10.103,N,20190132,65,20
10.103,N,20190191,65,20
10.103,N,20190208,65,20
10.103,N,20190234,65,20
10.103,N,20190443,65,20
10.103,N,20200056,65,20
10.103,N,20200179,65,20
10.103,N,20200338,65,20
10.103,N,20200376,65,20
10.103,N,20200529,65,20
10.103,N,20200694,65,20
10.114, ,20150219,33,30
10.114, ,20160074,33,30
10.114, ,20160105,33,30
10.114, ,20160249,33,30
10.114, ,20160537,33,30
10.114, ,20170344,33,30
10.114, ,20170784,33,30
10.114, ,20180248,33,30
10.114, ,20180432,33,30
10.114, ,20180477,33,30
10.114, ,20180574,33,30
10.114, ,20180619,33,30
10.114, ,20180667,33,30
10.114, ,20180692,33,30
10.114, ,20180693,33,30
10.114, ,20180799,33,30
10.114, ,20190155,33,30
10.114, ,20190421,33,30
10.114, ,20190457,33,30
10.114, ,20190506,33,30
10.114, ,20200267,33,30
10.114, ,20200331,33,30
10.114, ,20200644,33,30
10.114, ,20200722,33,30
10.114, ,20210008,33,30
10.114, ,20210346,33,30
10.114, ,20210389,33,30
10.114, ,20210391,33,30
10.114, ,20210617,33,30
10.114, ,20210638,33,30
10.12, ,20160050,54,30
10.12, ,20160586,54,30
10.12, ,20170371,54,30
10.12, ,20170661,54,30
10.12, ,20170881,54,30
10.12, ,20180188,54,30
10.12, ,20180215,54,30
10.12, ,20180290,54,30
10.12, ,20180527,54,30
10.12, ,20180678,54,30
10.12, ,20180699,54,30
10.12, ,20180816,54,30
10.12, ,20180850,54,30
10.12, ,20180940,54,30
10.12, ,20180950,54,30
10.12, ,20190134,54,30
10.12, ,20190155,54,30
10.12, ,20190371,54,30
10.12, ,20190676,54,30
10.12, ,20190711,54,30
10.12, ,20190778,54,30
10.12, ,20190808,54,30
10.12, ,20190854,54,30
10.12, ,20190871,54,30
10.12, ,20200387,54,30
10.12, ,20200559,54,30
10.12, ,20210097,54,30
10.12, ,20210204,54,30
10.12, ,20210347,54,30
10.12, ,20210378,54,30
10.144,A,20110208,267,100
10.144,A,20150566,267,100
10.144,A,20150611,267,100
10.144,A,20160155,267,100
10.144,A,20160166,267,100
